Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-02-04 21:16 (PST),On Demand,Alex Toussaint,15,Cycling,Music,15 min Hip Hop Ride,2020-12-24 06:00 (PST),173,192,49%,81,20.51,5.13,253,,,
2021-02-09 09:06 (PST),On Demand,Robin Arzon,15,Cycling,Intervals,15 min Tabata Ride,2019-07-22 13:00 (PST),207,230,60%,68,21.35,5.33,303,,,
2021-02-13 11:06 (PST),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-12-05 04:51 (PST),341,95,44%,64,15.61,15.60,499,,,
2021-02-16 11:30 (EST),On Demand,Ben Alldis,20,Strength,Bodyweight,20 min Bodyweight Strength,2021-02-01 01:00 (EST),,,,,,,82,,,
2021-02-18 11:49 (EST),On Demand,Matty Maggiacomo,15,Strength,Core,15 min Core Strength,2021-02-15 09:12 (EST),,,,,,,81,,,
2021-02-19 08:57 (PST),On Demand,Denis Morton,30,Cycling,Music,30 min Classic Rock Ride,2021-02-18 16:24 (PST),336,187,50%,79,20.22,10.11,491,,,
2021-02-19 09:30 (PST),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-16 06:00 (PST),,,,,,,14,,,
2021-02-22 10:22 (EST),On Demand,Adrian Williams,20,Strength,Core,20 min Core Strength,2021-01-21 08:21 (EST),,,,,,,107,,,
2021-02-23 11:24 (EST),On Demand,Matt Wilpers,20,Strength,Strength for Runners,20 min Strength for Runners,2020-10-13 08:20 (EST),,,,,,,,,,
2021-03-04 19:43 (-08),On Demand,Ben Alldis,20,Cycling,Music,20 min House Ride,2021-02-28 22:55 (-08),300,250,61%,73,22.58,7.53,438,,,
2021-03-04 20:14 (-08),On Demand,Ben Alldis,10,Strength,Core,10 min Core Strength,2021-02-23 22:00 (-08),,,,,,,55,,,
2021-03-08 21:36 (-08),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 11:38 (-08),,,,,,,6,,,
2021-03-08 21:38 (PST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 12:38 (PST),,,,,,,27,,,
2021-03-09 10:28 (EST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EST),,,,,,,26,,,
2021-03-09 10:36 (EST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EST),,,,,,,26,,,
2021-03-11 09:19 (-08),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 08:56 (-08),,,,,,,55,,,
2021-03-12 09:24 (EST),On Demand,Chase Tucker,15,Strength,Bodyweight,15 min Bodyweight Strength,2021-03-10 12:33 (EST),,,,,,,81,,,
2021-03-12 09:43 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EST),,,,,,,4,,,
